Data,BSaldo,BTotal
01/02/2026 - Dom,+04:59,
02/02/2026 - Seg,+05:39,+00:40
03/02/2026 - Ter,+06:19,+00:40
04/02/2026 - Qua,+06:59,+00:40
05/02/2026 - Qui,+07:39,+00:40
06/02/2026 - Sex,+08:19,+00:40
07/02/2026 - Sáb,+08:19,
08/02/2026 - Dom,+08:19,
09/02/2026 - Seg,+08:19,
10/02/2026 - Ter,+08:19,
11/02/2026 - Qua,+08:49,+00:30
12/02/2026 - Qui,+09:29,+00:40
13/02/2026 - Sex,+09:59,+00:30
14/02/2026 - Sáb,+04:59,-05:00
15/02/2026 - Dom,+04:59,
16/02/2026 - Seg,-00:01,-05:00
17/02/2026 - Ter,-00:01,
18/02/2026 - Qua,-00:01,
19/02/2026 - Qui,-00:01,
20/02/2026 - Sex,-00:01,
21/02/2026 - Sáb,-00:01,
22/02/2026 - Dom,-00:01,
